Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Moyenne_Anomalie,Emission_CO2,Année
-0.18,-0.25,-0.09,-0.16,-.10,-.21,-.18,-.10,-.14,-.24,-.22,-.17,-0.17,4.7058185730000006e-24,1880.0
-0.19,-0.14,0.03,0.05,.06,-.19,.01,-.03,-.15,-.22,-.18,-.07,-0.06250000000000001,4.855249382e-24,1881.0
0.16,0.14,0.05,-0.16,-.14,-.22,-.16,-.08,-.15,-.23,-.17,-.36,0.04750000000000001,5.0993634150000006e-24,1882.0
-0.29,-0.37,-0.12,-0.19,-.18,-.07,-.07,-.14,-.22,-.11,-.24,-.11,-0.2425,5.4142361490000004e-24,1883.0
-0.13,-0.08,-0.36,-0.4,-.34,-.35,-.33,-.28,-.27,-.25,-.33,-.31,-0.24250000000000002,5.4510232599999996e-24,1884.0
-0.59,-0.33,-0.26,-0.42,-.45,-.43,-.34,-.31,-.28,-.23,-.24,-.10,-0.39999999999999997,5.4863003970000004e-24,1885.0
-0.44,-0.51,-0.43,-0.28,-.24,-.35,-.18,-.31,-.24,-.28,-.27,-.25,-0.415,5.548986687e-24,1886.0
-0.72,-0.57,-0.36,-0.35,-.30,-.25,-.26,-.35,-.26,-.36,-.26,-.33,-0.5,5.811196732e-24,1887.0
-0.34,-0.36,-0.41,-0.2,-.22,-.17,-.10,-.16,-.12,.01,.03,-.04,-0.32749999999999996,6.3656908390000004e-24,1888.0
-0.09,0.16,0.06,0.09,-.01,-.10,-.08,-.20,-.24,-.25,-.33,-.29,0.055,6.437339749e-24,1889.0
-0.42,-0.45,-0.4,-0.3,-.39,-.25,-.28,-.39,-.37,-.25,-.43,-.31,-0.3925,6.94201506e-24,1890.0
-0.33,-0.47,-0.18,-0.27,-.16,-.20,-.17,-.17,-.15,-.22,-.31,-.04,-0.3125,7.24837549e-24,1891.0
-0.29,-0.11,-0.4,-0.33,-.23,-.22,-.32,-.27,-.17,-.14,-.42,-.38,-0.28250000000000003,7.266453578e-24,1892.0
-0.81,-0.57,-0.22,-0.27,-.33,-.26,-.14,-.25,-.22,-.19,-.19,-.34,-0.46749999999999997,7.154641372e-24,1893.0
-0.53,-0.31,-0.24,-0.46,-.33,-.41,-.25,-.25,-.29,-.24,-.27,-.23,-0.385,7.491068157e-24,1894.0
-0.42,-0.43,-0.34,-0.23,-.28,-.21,-.18,-.18,-.13,-.11,-.17,-.14,-0.355,7.879588907999999e-24,1895.0
-0.22,-0.13,-0.26,-0.3,-.16,-.11,-.02,-.05,-.07,.06,-.04,-.04,-0.22749999999999998,8.162735358000002e-24,1896.0
-0.15,-0.17,-0.14,-0.02,-.01,-.12,-.03,-.09,-.09,-.13,-.17,-.20,-0.12000000000000001,8.554194147e-24,1897.0
-0.02,-0.3,-0.51,-0.31,-.30,-.19,-.22,-.27,-.21,-.34,-.38,-.23,-0.28500000000000003,8.979137452999999e-24,1898.0
-0.16,-0.39,-0.36,-0.21,-.24,-.32,-.17,-.08,-.05,-.04,.12,-.26,-0.28,9.751043876e-24,1899.0
-0.36,-0.06,0.0,-0.09,-.09,-.10,-.13,-.09,-.05,.09,-.06,-.07,-0.1275,1.0273970760999999e-23,1900.0
-0.21,-0.11,0.06,-0.03,-.15,-.12,-.15,-.20,-.22,-.29,-.18,-.28,-0.07250000000000001,1.0519693004e-23,1901.0
-0.18,-0.07,-0.27,-0.28,-.32,-.30,-.28,-.30,-.29,-.29,-.35,-.41,-0.2,1.0728189408e-23,1902.0
-0.23,-0.05,-0.22,-0.41,-.39,-.42,-.35,-.45,-.50,-.48,-.42,-.50,-0.22749999999999998,1.158428486e-23,1903.0
-0.63,-0.57,-0.48,-0.5,-.52,-.48,-.51,-.49,-.55,-.38,-.17,-.32,-0.5449999999999999,1.1744307449999998e-23,1904.0
-0.34,-0.58,-0.21,-0.33,-.29,-.28,-.26,-.20,-.19,-.24,-.06,-.12,-0.365,1.2412940488e-23,1905.0
-0.27,-0.29,-0.18,-0.04,-.25,-.19,-.22,-.19,-.28,-.19,-.37,-.14,-0.195,1.2992219488000002e-23,1906.0
-0.43,-0.51,-0.27,-0.36,-.46,-.42,-.34,-.34,-.34,-.22,-.46,-.46,-0.39249999999999996,1.4631421335e-23,1907.0
-0.44,-0.32,-0.55,-0.44,-.37,-.38,-.35,-.45,-.35,-.43,-.51,-.48,-0.4375,1.4249579991e-23,1908.0
-0.72,-0.46,-0.54,-0.58,-.54,-.52,-.45,-.33,-.38,-.40,-.31,-.56,-0.575,1.4695800702e-23,1909.0
-0.42,-0.41,-0.5,-0.42,-.34,-.38,-.34,-.36,-.39,-.41,-.55,-.67,-0.4375,1.5305591343999998e-23,1910.0
-0.62,-0.57,-0.61,-0.53,-.51,-.50,-.41,-.44,-.40,-.26,-.21,-.21,-0.5825,1.5615092131e-23,1911.0
-0.25,-0.14,-0.37,-0.17,-.21,-.23,-.42,-.54,-.59,-.57,-.38,-.43,-0.2325,1.6328514498999998e-23,1912.0
-0.4,-0.45,-0.42,-0.39,-.44,-.45,-.36,-.33,-.35,-.32,-.19,-.02,-0.41500000000000004,1.7677118835e-23,1913.0
0.05,-0.09,-0.24,-0.29,-.21,-.25,-.23,-.16,-.17,-.03,-.15,-.03,-0.1425,1.5984337672999998e-23,1914.0
-0.2,-0.03,-0.09,0.07,-.06,-.22,-.12,-.22,-.20,-.24,-.12,-.21,-0.0625,1.5639708307e-23,1915.0
-0.12,-0.14,-0.28,-0.3,-.34,-.49,-.37,-.28,-.36,-.33,-.46,-.81,-0.21000000000000002,1.6795014014e-23,1916.0
